,Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
0,12346.0,66,15,810.4,3,5,3,353,Potential Loyalists
1,12347.0,2,2,1323.32,5,2,4,524,Needing Attention
2,12348.0,73,1,222.16,2,1,1,211,At Risk
3,12349.0,42,4,2695.29,3,3,5,335,Potential Loyalists
4,12351.0,10,1,300.93,5,1,2,512,At Risk
5,12352.0,10,2,343.8,5,2,2,522,Needing Attention
6,12353.0,43,1,317.76,3,1,2,312,At Risk
7,12355.0,202,1,488.21000000000004,1,1,2,112,At Risk
8,12356.0,15,3,3562.25,4,3,5,435,Potential Loyalists
9,12357.0,23,2,12079.99,4,2,5,425,Needing Attention
10,12358.0,10,3,2719.01,5,3,5,535,Potential Loyalists
11,12359.0,60,8,2657.36,3,5,5,355,Potential Loyalists
12,12360.0,14,6,1630.83,5,4,4,544,Potential Loyalists
13,12361.0,97,3,321.35,2,3,2,232,Needing Attention
14,12362.0,373,1,130.0,1,1,1,111,At Risk
15,12366.0,268,1,500.24,1,1,2,112,At Risk
16,12368.0,263,1,917.6999999999999,1,1,3,113,At Risk
17,12369.0,48,3,1791.15,3,3,4,334,Potential Loyalists
18,12370.0,259,3,774.62,1,3,3,133,At Risk
19,12371.0,44,3,2179.42,3,3,4,334,Potential Loyalists
20,12373.0,259,2,763.0500000000001,1,2,3,123,At Risk
21,12374.0,56,3,2246.29,3,3,5,335,Potential Loyalists
22,12376.0,24,2,503.15,4,2,2,422,Needing Attention
23,12377.0,16,2,1798.2,4,2,4,424,Needing Attention
24,12378.0,197,1,1407.7,1,1,4,114,At Risk
25,12379.0,57,2,767.98,3,2,3,323,Needing Attention
26,12380.0,16,10,8735.54,4,5,5,455,Loyal Customers
27,12382.0,317,1,18.38,1,1,1,111,At Risk
28,12385.0,14,2,1953.4,5,2,4,524,Needing Attention
29,12386.0,1,1,258.9,5,1,2,512,At Risk
30,12387.0,50,1,143.94,3,1,1,311,At Risk
31,12388.0,80,2,1120.45,2,2,4,224,Needing Attention
32,12389.0,37,3,1433.33,3,3,4,334,Potential Loyalists
33,12391.0,99,6,2338.13,2,4,5,245,Needing Attention
34,12392.0,226,1,234.75000000000003,1,1,1,111,At Risk
35,12393.0,17,3,839.55,4,3,3,433,Potential Loyalists
36,12395.0,6,4,2048.64,5,3,4,534,Potential Loyalists
37,12396.0,309,1,931.43,1,1,3,113,At Risk
